categoria,video,fps,duracion_seg,resolucion,frames,brillo_promedio,movimiento_promedio,velocidad_promedio,inclinacion_promedio
Adelante,adelante1.mp4,30.0,3.4,1080x1908,102,145.51,1.42,0.0015,0.0028
Adelante,adelante2.mp4,30.0,3.4,1080x1908,102,139.24,1.79,0.0037,0.0025
Adelante,adelante3.mp4,30.0,2.73,1080x1908,82,142.63,1.21,0.0028,0.0035
Adelante,adelante4.mp4,30.0,3.9,1080x1908,117,147.12,1.69,0.0023,0.0031
Adelante,adelante5.mp4,30.0,3.7,1080x1908,111,140.79,1.34,0.0019,0.0039
Adelante,adelante6.mp4,30.0,2.6,1080x1908,78,147.2,1.51,0.0028,0.0047
Adelante,adelante7.mp4,30.0,3.5,1080x1908,105,146.17,1.78,0.0024,0.0043
Adelante,adelante8.mp4,30.0,2.83,1080x1908,85,141.93,1.65,0.0034,0.0022
Adelante,adelante9.mp4,30.0,2.47,1080x1908,74,141.83,1.86,0.0024,0.0072
Adelante,adelante10.mp4,30.0,2.77,1080x1908,83,137.38,1.74,0.0022,0.0033
Adelante,adelante11.mp4,30.0,4.37,1080x1908,131,146.35,1.39,0.002,0.0046
Adelante,adelante12.mp4,30.0,5.13,1080x1908,154,142.08,1.3,0.0026,0.006
Adelante,adelante13.mp4,30.0,3.17,1080x1908,95,145.04,1.65,0.0023,0.0038
Adelante,adelante14.mp4,30.0,3.23,1080x1936,97,135.29,1.35,0.0023,0.0071
Adelante,adelante15.mp4,30.0,3.13,1080x1936,94,141.85,1.52,0.0028,0.0054
Adelante,adelante16.mp4,30.0,4.67,1080x1936,140,137.73,0.94,0.0015,0.0062
Adelante,adelante17.mp4,30.0,3.23,1080x1936,97,139.24,1.08,0.0019,0.0022
Adelante,adelante18.mp4,30.0,2.7,1080x1936,81,136.26,1.86,0.0017,0.0065
Atras,atras2.mp4,30.0,2.43,1080x1908,73,140.73,2.06,0.0033,0.0038
Atras,atras3.mp4,30.0,2.23,1080x1908,67,144.47,1.58,0.003,0.0039
Atras,atras4.mp4,30.0,2.93,1080x1908,88,147.69,1.71,0.0034,0.0052
Atras,atras5.mp4,30.0,2.2,1080x1908,66,141.98,1.6,0.0026,0.0035
Atras,atras1.mp4,30.0,2.8,1080x1908,84,144.4,2.05,0.0033,0.0072
Atras,Atras6.mp4,30.0,2.4,1080x1908,72,147.94,1.93,0.0036,0.0029
Atras,atras7.mp4,30.0,3.0,1080x1908,90,147.3,2.1,0.0033,0.0071
Atras,atras8.mp4,30.0,2.07,1080x1908,62,141.25,1.91,0.004,0.0077
Atras,atras9.mp4,30.0,2.43,1080x1908,73,143.19,1.73,0.0038,0.0052
Atras,atras10.mp4,30.0,2.1,1080x1908,63,140.38,1.78,0.0036,0.0059
Atras,atras11.mp4,30.0,3.03,1080x1908,91,146.49,1.87,0.0027,0.0048
Atras,atras12.mp4,30.0,3.4,1080x1908,102,141.42,1.44,0.003,0.0065
Atras,atras13.mp4,30.0,2.7,1080x1908,81,145.38,1.47,0.0028,0.0069
Atras,atras14.mp4,30.0,2.87,1080x1936,86,136.67,1.58,0.0038,0.0057
Atras,atras15.mp4,30.0,2.63,1080x1936,79,141.94,1.56,0.0023,0.0091
Atras,atras16.mp4,30.0,2.43,1080x1936,73,138.88,1.27,0.0035,0.0027
Atras,atras17.mp4,30.0,2.43,1080x1936,73,139.26,1.25,0.0026,0.0041
Atras,atras18.mp4,30.0,2.7,1080x1936,81,136.08,1.72,0.0036,0.0075
Sentado,sentado1.mp4,30.0,3.53,1080x1908,106,148.73,0.48,0.0016,0.0044
Sentado,sentado2.mp4,30.0,4.8,1080x1908,144,147.38,0.37,0.0017,0.0022
Sentado,sentado3.mp4,30.0,3.0,1080x1908,90,147.83,0.39,0.0014,0.0031
Sentado,sentado4.mp4,30.0,4.1,1080x1908,123,149.06,0.37,0.0012,0.002
Sentado,sentado5.mp4,30.0,4.77,1080x1908,143,147.01,0.47,0.0013,0.0028
Sentado,sentado7.mp4,30.0,3.6,1080x1908,108,148.28,0.46,0.0013,0.0014
Sentado,sentado8.mp4,30.0,2.97,1080x1908,89,147.48,0.44,0.0015,0.0012
Sentado,sentado9.mp4,30.0,4.17,1080x1908,125,147.61,0.5,0.0012,0.004
Sentado,sentado10.mp4,30.0,3.83,1080x1908,115,147.05,0.46,0.0018,0.0018
Sentado,sentado11.mp4,30.0,4.33,1080x1908,130,149.15,0.51,0.0014,0.0027
Sentado,sentado12.mp4,30.0,5.87,1080x1908,176,147.75,0.49,0.0011,0.0016
Sentado,sentado13.mp4,30.0,3.4,1080x1908,102,148.58,0.48,0.0012,0.0028
Sentado,sentado14.mp4,30.0,3.4,1080x1936,102,141.44,0.6,0.0022,0.0029
Sentado,sentado15.mp4,30.0,4.53,1080x1936,136,143.2,0.46,0.0014,0.0044
Sentado,sentado16.mp4,30.0,4.87,1080x1936,146,141.38,0.42,0.001,0.0037
Sentado,sentado17.mp4,30.0,3.97,1080x1936,119,142.53,0.46,0.0013,0.0009
Sentado,sentado18.mp4,30.0,3.07,1080x1936,92,141.79,0.56,0.0018,0.0047
Sentado,sentado6.mp4,30.0,3.03,1080x1908,91,148.96,0.58,0.0017,0.0033
